entloss,entropy,eplenmean,eprewmean,eprewsem,epsofar,epthisiter,ev_tdlam_before,meankl,optimgain,surrgain,timelapsed,timestepsofar
0.0,8.482524,2.425,-5.0745745,2.1889277,481,481,0.08655112981796265,0.0009955624,0.021699116,0.021699116,539.4996819496155,1021
0.0,8.468146,1.85,-4.5272913,1.5024991,985,504,0.09441852569580078,0.0010212159,0.022450663,0.022450663,1086.805985212326,2048
0.0,8.451821,1.95,-4.689626,1.506123,1497,512,0.10793048143386841,0.0010458259,0.022919843,0.022919843,1626.991474866867,3072
0.0,8.431975,1.625,-4.311175,1.1820283,2049,552,0.07562398910522461,0.0010826441,0.023392122,0.023392122,2178.2286105155945,4096
