-199.12704778164445;1;22
0;2;0
-198.69113985968278;3;29
0;4;0
-200.35516116035978;5;80
0;6;0
-199.7488713445044;7;16
0;8;0
-201.30109816161902;9;31
0;10;0
-199.95538768898857;11;4
0;12;0
-199.93171183509486;13;4
0;14;0
-200.20241967514062;15;13
0;16;0
