# {"t_start": 1559905309.588259, "env_id": "PickbotPickContinuousDoorHandle-v0"} 
r,l,t
-6.001445,3,3.958482
-3.944096,1,4.440496
-15.88096,13,10.915251
-3.978031,1,11.296236
-7.99651,5,14.155281
-16.954322,14,21.213962
-4.89203,2,22.250165
-5.002254,2,23.037274
-9.003259,6,25.568121
-8.971518,6,28.598569
-10.96339,8,32.483675
-12.000511,9,36.721856
-3.956189,1,37.054434
-6.991348,4,38.673441
-4.986315,2,39.534275
-3.963072,1,39.87183
-4.87074,2,40.572116
-5.998629,3,42.132089
-3.907073,1,42.58368
-4.775946,2,43.656634
-4.000467,1,44.028224
-4.917729,2,44.550192
-3.99736,1,44.983593
-5.985979,3,46.316205
-4.943038,2,47.383182
-7.845438,5,49.530245
-5.946776,3,50.990109
-5.920599,3,52.43657
-10.005456,7,55.468656
-3.938109,1,55.827709
-11.956245,9,59.755151
-3.85851,1,60.213989
-6.631589,4,62.296811
-5.972271,3,63.575889
-7.968939,5,65.678119
-3.849734,1,66.192289
-6.810922,4,68.211118
-3.976589,1,68.557726
-3.99193,1,68.93264
-5.966699,3,70.314626
-3.961697,1,70.750637
-4.000529,1,71.119267
-4.992952,2,71.924357
-5.968948,3,73.562834
-4.995715,2,74.428473
-3.910711,1,74.9006
-3.997434,1,75.261608
-3.980083,1,75.780599
-3.993332,1,76.146954
-3.982178,1,76.497474
-5.987374,3,78.146285
-5.600843,3,79.453972
-12.482757,10,83.412984
-3.955329,1,83.750259
-3.967568,1,84.108593
-3.970293,1,84.462975
-4.614296,2,85.377823
-17.877373,15,92.964323
-6.874464,4,94.75379
-3.952388,1,95.097612
-9.000285,6,98.334221
-6.989438,4,99.989534
-5.002291,2,101.055256
-8.994261,6,104.123583
-6.965303,4,106.147321
-5.723165,3,107.545532
-3.934894,1,107.946929
-4.99458,2,108.74286
-3.974134,1,109.088386
-10.957429,8,112.618944
-3.988393,1,112.969475
-8.863257,6,116.065841
-4.874873,2,116.83106
-3.95451,1,117.33694
-11.896179,9,121.57301
-3.999465,1,121.946126
-5.813024,3,123.283432
-3.892353,1,123.78063
-3.982405,1,124.18065
-6.931549,4,126.193245
-4.977211,2,127.041761
-7.923133,5,129.397743
-3.972343,1,129.787411
-7.796467,5,131.975398
-4.000436,1,132.342277
-14.780318,12,138.158014
-5.981979,3,139.455572
-3.933124,1,139.937498
-7.004265,4,141.821593
-7.873234,5,144.520092
-9.646366,7,147.62254
-19.801171,17,155.963677
-8.763985,6,158.840931
-3.991203,1,159.199568
-3.973617,1,159.557485
-3.998017,1,160.095585
-6.010066,3,161.687191
-18.761846,16,168.81536
-3.97126,1,169.133732
-4.958852,2,170.038548
-3.965804,1,170.37477
-19.564163,17,178.212643
-7.970494,5,180.397063
-3.994442,1,180.746549
-13.931568,11,186.010695
-4.982749,2,186.870098
-4.714457,2,187.627228
-3.926271,1,188.036932
-4.974956,2,188.720381
-8.914409,6,191.515744
-6.933999,4,193.076396
-6.001326,3,194.377939
-4.847679,2,195.488348
-4.970725,2,196.366004
-5.975869,3,197.466166
-8.963844,6,200.284188
-11.8571,9,204.220107
-3.938081,1,204.692943
-6.001888,3,205.799651
-6.745463,4,207.770065
-4.989059,2,208.629849
-12.853432,10,213.450393
-3.958005,1,213.776036
-3.975567,1,214.102503
-11.975667,9,218.541121
-6.949014,4,220.469196
-5.794099,3,222.030761
-3.985857,1,222.369813
-3.991843,1,222.738803
-11.930987,9,227.196768
-9.827998,7,230.306371
-3.991156,1,230.666908
-4.888416,2,231.738517
-6.99765,4,233.415699
-3.901128,1,233.874
-5.995325,3,234.985553
-4.001696,1,235.405454
-3.773637,1,236.023534
-4.914198,2,236.792712
-6.952374,4,238.618817
-6.003565,3,239.9587
-6.994819,4,242.195439
-5.001738,2,242.958449
-4.993935,2,243.680118
-3.886884,1,244.124363
-15.976376,13,249.947524
-3.979286,1,250.297918
-4.955086,2,250.911293
-10.55872,8,254.420331
-3.980236,1,254.752784
-3.994539,1,255.281984
-15.507095,13,260.954696
-5.961127,3,261.896418
-4.858902,2,262.809093
-12.973907,10,268.290373
-13.680386,11,272.637514
-3.948006,1,272.972863
-10.914542,8,276.78463
-4.754408,2,277.518367
-8.974769,6,280.520659
-3.991663,1,280.947557
-3.967716,1,281.346181
-7.930852,5,283.607046
-4.988212,2,284.438264
-3.96744,1,284.83518
-4.922788,2,285.907771
-3.903389,1,286.373176
-3.993298,1,286.73086
-5.900696,3,287.983293
-4.987376,2,288.576925
-5.958511,3,289.749932
-4.991595,2,290.493958
-3.996248,1,290.835293
-3.975198,1,291.170993
-15.893375,13,297.343568
-3.92341,1,297.923896
-11.888336,9,302.03585
-5.849278,3,303.482275
-3.993452,1,303.979872
-3.998803,1,304.485226
-3.991802,1,304.895006
-5.772849,3,305.906209
-9.930272,7,308.946283
-3.961702,1,309.415618
-3.879725,1,309.867334
-10.863904,8,313.637897
-4.890422,2,314.428174
-9.948029,7,317.907461
-8.584602,6,320.55483
-4.967606,2,321.579697
-7.95476,5,324.362154
-4.000988,1,324.847264
-3.958557,1,325.180538
-5.995749,3,326.369815
-9.924574,7,329.609408
-5.963881,3,330.665464
-3.924458,1,331.241295
-4.885433,2,331.989706
-4.733302,2,332.762867
-16.938533,14,339.455839
-3.992348,1,339.825185
-9.899582,7,343.116456
-3.90014,1,343.524684
-4.987928,2,344.4365
-4.976577,2,345.24601
-4.94971,2,346.212926
-5.679681,3,347.556506
-3.991577,1,347.945141
-3.945425,1,348.409556
-7.889812,5,350.683042
-7.970326,5,352.833092
-7.954877,5,355.167878
-5.752458,3,356.784365
-4.811604,2,357.52039
-3.988986,1,357.864112
-6.001578,3,359.415609
-4.683888,2,360.119726
-4.752761,2,360.976578
-10.834883,8,364.690682
-12.554595,10,369.438287
-3.993283,1,369.803645
-8.003412,5,371.897887
-3.946114,1,372.244527
-4.915594,2,373.10384
-3.93636,1,373.462985
-4.958604,2,374.413628
-4.99562,2,375.451485
-3.973357,1,375.940252
-3.988723,1,376.29478
-4.93792,2,377.116203
-6.735853,4,379.082631
-3.990017,1,379.441464
-3.986349,1,379.896094
-8.673919,6,382.727401
-3.956377,1,383.064413
-3.989099,1,383.493544
-7.890966,5,386.031192
-3.991119,1,386.396879
-7.007381,4,388.24515
-6.005557,3,390.024943
-3.983037,1,390.371
-7.972763,5,392.697821
-3.997619,1,393.073743
-24.484579,22,403.558341
-8.937277,6,406.395135
-3.980529,1,406.77604
-8.885097,6,409.30406
-4.961428,2,409.963599
-5.995846,3,411.714435
-3.980514,1,412.073552
-3.971489,1,412.460296
-3.968626,1,412.789002
-4.934735,2,413.340564
-9.913887,7,416.382814
-11.452162,9,420.286057
-3.9912,1,420.785082
-6.714211,4,422.578845
-3.998263,1,422.942061
-13.773947,11,427.611207
-8.991746,6,430.677934
-9.780923,7,433.802825
-12.723916,10,438.531911
-3.964659,1,438.89622
-6.802363,4,440.952674
-5.001206,2,443.529701
-3.929244,1,443.942863
-5.002738,2,444.762321
-5.718732,3,446.206513
-5.614236,3,447.81789
-3.887217,1,448.373424
-12.908593,10,453.004454
-10.967117,8,456.712654
-7.855665,5,459.129533
-6.853294,4,460.808578
-3.998562,1,461.349207
-3.92086,1,461.742743
-6.870721,4,463.440552
-6.395005,4,465.555811
-5.744138,3,467.089288
-3.892891,1,467.598938
-3.97715,1,467.940051
-9.947765,7,471.200146
-8.757107,6,474.383466
-7.865159,5,476.482565
-6.96994,4,478.169942
-8.736548,6,481.424273
-10.986657,8,484.77836
-3.929821,1,485.1684
-3.975257,1,485.495624
-7.949583,5,487.902204
-3.909248,1,488.296761
-6.935398,4,490.083445
-7.536787,5,492.38058
-4.719719,2,493.539792
-5.956955,3,494.687558
-4.553335,2,495.596915
-6.650812,4,497.68195
-3.987684,1,498.04303
-4.530563,2,498.911885
-6.987722,4,500.422293
-3.990021,1,500.767043
-3.964451,1,501.260845
-7.976036,5,503.470082
-5.933681,3,504.740312
-5.99447,3,506.160249
-3.979693,1,506.616988
-3.996679,1,507.037127
-8.866831,6,510.248727
-10.718954,8,514.556509
-3.965625,1,514.905004
-3.954194,1,515.33102
-4.935636,2,516.229996
-3.999302,1,516.601982
-4.997252,2,517.520007
-8.936264,6,520.669199
-5.966413,3,521.988161
-3.948919,1,522.349395
-6.97951,4,524.447612
-3.94018,1,524.892315
-4.998231,2,525.858744
-7.99788,5,528.423316
-4.992151,2,529.175883
-3.993202,1,529.547444
-8.834718,6,532.370004
-4.889597,2,533.366297
-7.953918,5,535.714911
-3.958985,1,536.097259
-3.981048,1,536.532755
-4.538007,2,537.269492
-5.735932,3,539.081428
-6.005854,3,540.789441
-3.991657,1,541.138376
-8.718491,6,544.245346
-9.907192,7,547.568463
-4.924673,2,548.498739
-3.969541,1,548.813007
-6.886429,4,550.399695
-7.981217,5,553.017024
-6.957908,4,554.846975
-4.995584,2,555.785996
-3.99002,1,556.124581
-6.991042,4,558.131334
-8.915453,6,560.537086
-11.644893,9,564.072712
-3.967973,1,564.390966
-18.645162,16,572.171626
-3.964321,1,572.630141
-6.955285,4,574.475011
-6.967696,4,576.575321
-11.473693,9,581.12436
-3.937508,1,581.481716
-4.973552,2,582.23162
-17.961244,15,589.200011
-4.848048,2,589.776683
-8.948536,6,592.655623
-4.957819,2,593.36216
-3.980205,1,593.789465
-5.000282,2,594.461373
-5.999831,3,595.975461
-3.964451,1,596.468767
-6.000637,3,598.023356
-7.008406,4,599.942263
-4.987081,2,600.805272
-5.927911,3,602.144205
-3.989358,1,602.505064
-5.990078,3,604.300081
-3.989064,1,604.672763
-3.997798,1,605.19754
-6.761211,4,607.113873
-8.665217,6,609.685097
-6.78614,4,611.587037
-4.997391,2,612.218355
-3.941298,1,612.60995
-4.900811,2,613.286033
-4.001113,1,613.802531
-6.008924,3,615.515586
-3.982283,1,615.967056
-7.963901,5,618.357857
-4.989942,2,619.000475
-3.963374,1,619.311637
-3.942586,1,619.702112
-9.958619,7,622.852463
-10.823852,8,626.812434
-3.997536,1,627.219487
-5.981602,3,628.465933
-4.970067,2,629.218811
-5.98348,3,630.704044
-6.957316,4,632.656522
-3.995034,1,633.035628
-4.000461,1,633.404172
-9.168336,7,636.693166
-6.565419,4,638.724641
-7.981355,5,641.088886
-4.944071,2,642.104384
-5.971806,3,643.425532
-4.90502,2,644.543683
-3.984132,1,644.892743
-7.996081,5,647.248684
-9.906145,7,650.318366
-10.949949,8,653.671739
-4.002173,1,654.14726
-4.99165,2,655.086589
-3.992647,1,655.443134
-9.526907,7,658.266289
-10.947961,8,662.140696
-3.970586,1,662.448551
-4.848806,2,663.260193
-5.661917,3,664.555965
-6.91459,4,666.41627
-3.99002,1,666.786998
-7.667342,5,669.296464
-3.998372,1,669.733776
-3.987451,1,670.094491
-7.676802,5,672.134105
-6.853661,4,674.410929
-3.868788,1,674.890086
-3.980464,1,675.246869
-4.991582,2,675.949574
-6.00607,3,677.544738
-3.960423,1,677.995668
-3.922849,1,678.483443
-3.963213,1,678.886337
-3.91665,1,679.299178
-3.993106,1,679.711143
-6.957691,4,681.429582
-3.953405,1,681.754632
-5.958161,3,682.918779
-3.920646,1,683.365724
-5.971849,3,684.807611
-3.996263,1,685.160339
-3.892994,1,685.590993
-5.9988,3,686.979449
-7.497162,5,689.238685
-11.677165,9,693.537104
-8.791316,6,696.242744
-3.96448,1,696.675348
-3.995363,1,697.06108
-7.986375,5,699.506005
-4.961092,2,700.408312
-3.993779,1,700.879397
-13.853238,11,706.410111
-4.712119,2,707.424044
-4.994726,2,707.975708
-3.99695,1,708.324634
-3.991227,1,708.658736
-3.901395,1,709.103139
-9.856338,7,712.405457
-3.913333,1,712.812773
-5.561436,3,713.976452
-4.703557,2,714.881577
-4.92076,2,715.76164
-6.998482,4,718.215504
-3.987623,1,718.562736
-4.643269,2,719.475537
-3.987044,1,719.846365
-23.425794,21,729.834024
-10.945296,8,733.661961
-12.916461,10,739.204264
-5.986118,3,740.296053
-3.987746,1,740.674175
-4.988525,2,741.472013
-6.957441,4,743.082461
-3.965218,1,743.39751
-4.96271,2,744.184299
-7.935114,5,746.747804
-9.873904,7,750.120549
-4.436525,2,750.82011
-3.964953,1,751.136087
-4.993622,2,751.929438
-5.99258,3,753.225607
-5.803437,3,754.688174
-5.973965,3,755.940865
-5.962976,3,757.053985
-6.001494,3,758.640666
-3.993525,1,759.070351
-3.965645,1,759.415951
-6.877294,4,761.268641
-3.925147,1,761.780938
-5.003931,2,762.540994
-5.00387,2,763.414597
-7.823585,5,765.851793
-4.727953,2,766.714787
-3.98988,1,767.167115
-6.005931,3,768.405197
-8.884612,6,771.783995
-4.000388,1,772.152421
-3.931814,1,772.703493
-3.997824,1,773.064267
-4.945081,2,774.130616
-3.995147,1,774.547316
-4.926881,2,775.350458
-3.93696,1,775.878202
-3.942846,1,776.377633
-3.988875,1,776.818113
-8.903145,6,779.302529
-6.969045,4,781.111978
-3.975512,1,781.641881
-4.898636,2,782.568844
-9.759451,7,786.233286
-3.910357,1,786.744818
-4.997867,2,787.753957
-6.990916,4,789.332976
-4.677113,2,790.069205
-3.986864,1,790.449179
-5.886485,3,791.707688
-3.986266,1,792.043506
-4.952019,2,792.982648
-8.74767,6,796.294299
-13.777516,11,800.986985
-4.997082,2,801.718531
-4.935037,2,802.543752
-3.996446,1,803.038565
-6.974003,4,804.852628
-3.871912,1,805.322739
-3.88234,1,805.866081
-5.980912,3,807.503783
-6.929139,4,809.163981
-3.992103,1,809.726414
-3.905457,1,810.245443
-3.99463,1,810.590837
-5.773859,3,812.097734
-3.99789,1,812.533965
-4.002224,1,813.048413
-3.962846,1,813.549729
-8.861664,6,816.942133
-5.966177,3,818.020213
-6.927966,4,819.869586
-16.928908,14,826.387851
-7.874298,5,828.61823
-14.914459,12,834.485508
-3.994727,1,834.870627
-6.470606,4,836.951264
-8.735946,6,839.500583
-5.995881,3,841.032908
-7.689677,5,843.195022
-10.932072,8,847.236102
-3.984989,1,847.623848
-3.961041,1,847.944812
-15.849088,13,854.208086
-6.520609,4,856.10295
-4.000323,1,856.537579
-13.864308,11,861.423103
-4.895779,2,862.141392
-8.886597,6,865.061491
-3.98066,1,865.393562
-5.005118,2,866.209225
-3.972605,1,866.589241
-5.964228,3,868.40177
-4.682289,2,869.194833
-4.966772,2,869.761816
-4.908701,2,870.541451
-12.800522,10,874.965359
-4.968231,2,875.895401
-3.989409,1,876.267831
-3.989641,1,876.62454
-3.98967,1,876.986972
-3.948196,1,877.536679
-6.001181,3,878.849175
-4.985908,2,879.663346
-3.895738,1,880.18186
-9.886784,7,883.500178
-23.673309,21,892.035059
-3.972399,1,892.364697
-5.991663,3,893.661489
-3.999039,1,894.127903
-16.869201,14,900.167875
-4.000834,1,900.556321
-3.914849,1,901.047958
-6.851535,4,902.988062
-3.990536,1,903.349604
-6.801874,4,905.138919
-3.992906,1,905.50644
-22.692931,20,915.12517
-3.98863,1,915.515882
-5.00404,2,916.470642
-5.992534,3,917.663563
-6.935705,4,919.495646
-4.986329,2,920.439778
-3.999379,1,920.812724
-5.851406,3,921.948495
-3.994311,1,922.412389
-8.757704,6,925.179184
-7.94606,5,927.542642
-10.830374,8,930.921394
-6.961865,4,932.721089
-3.985223,1,933.070055
-3.994286,1,933.443334
-3.986433,1,933.793053
-8.969132,6,936.646641
-3.999891,1,937.12143
-5.9905,3,938.261691
-3.988984,1,938.600394
-5.852291,3,940.291034
-8.723362,6,943.260314
-7.855385,5,945.150873
-5.675305,3,946.615347
-3.999243,1,946.981716
-8.932925,6,949.280654
-3.986852,1,949.646724
-3.934359,1,950.118121
-5.959859,3,951.31425
-3.982484,1,951.682213
-3.951135,1,952.16261
-3.90808,1,952.604189
-6.778937,4,954.579568
-18.601305,16,961.887773
-4.967033,2,962.709404
-7.974625,5,964.85842
-7.9772,5,966.933103
-3.997396,1,967.292233
-4.000029,1,967.654032
-5.842499,3,968.934789
-3.984449,1,969.290416
-6.007617,3,970.736047
-13.869347,11,975.343162
-3.973417,1,975.676489
-6.772598,4,977.526197
-3.890638,1,977.978146
-9.967648,7,980.882617
-3.991061,1,981.221882
-4.679875,2,982.080024
-3.889073,1,982.514509
-6.967999,4,983.988019
-8.141344,6,986.460346
-3.993924,1,986.990689
-7.698616,5,989.321224
-8.994565,6,992.362281
-4.000255,1,992.736267
-4.96953,2,993.559157
-6.966965,4,995.502604
-3.973246,1,995.88915
-3.94272,1,996.402246
-3.994339,1,996.761639
-4.70989,2,997.795585
-23.953062,21,1007.262268
-3.995126,1,1007.638563
-4.314741,2,1008.690046
-8.503191,6,1011.554068
-4.944712,2,1012.404
-3.917445,1,1012.843402
-3.987827,1,1013.202652
-4.002019,1,1013.669479
-3.982851,1,1014.027536
-4.894822,2,1014.671806
-7.927555,5,1016.505797
-3.969686,1,1016.826297
-4.967034,2,1017.643213
-3.999684,1,1018.216023
-3.683411,1,1018.873479
-9.000887,6,1021.985088
-4.992978,2,1022.705699
-3.878448,1,1023.187612
-7.011867,4,1024.888958
-3.9816,1,1025.217537
-5.532725,3,1026.611832
-8.643499,6,1029.171053
-5.976385,3,1031.122565
-3.90785,1,1031.570658
-3.970011,1,1031.910077
-12.624522,10,1036.611186
-4.588582,2,1037.445641
-5.979691,3,1039.296782
-4.974892,2,1040.241751
-4.000382,1,1040.604786
-3.992078,1,1040.960758
-3.984271,1,1041.332383
-4.001258,1,1041.858415
-19.00473,16,1048.777184
-3.988746,1,1049.31071
-3.991508,1,1049.682531
-4.993176,2,1050.657982
-5.962727,3,1052.270968
-3.970524,1,1052.586969
-3.990632,1,1052.958838
-5.622026,3,1054.187271
-3.989046,1,1054.632826
-4.994109,2,1055.331091
-3.952587,1,1055.874736
-5.003916,2,1056.681598
-3.973283,1,1057.021819
-5.001681,2,1057.819747
-7.8823,5,1059.994828
-3.975937,1,1060.308912
-3.971528,1,1060.620349
-11.835032,9,1065.302788
-3.99394,1,1065.799154
-5.832421,3,1067.020885
-9.925562,7,1070.409917
-3.957227,1,1070.912513
-5.906813,3,1072.025418
-3.910906,1,1072.476929
-4.951931,2,1073.092514
-5.901273,3,1074.257743
