# {"env_id": "PickbotReachOrientDoorHandle-v0", "t_start": 1565395107.2128944} 
r,l,t
0,500,106.094171
0,500,208.644472
0,500,311.259135
0,500,416.086725
0,500,519.526375
0,500,621.693562
0,500,721.28354
0,500,822.319382
0,500,921.821643
0,500,1022.58306
0,500,1121.677678
0,500,1223.612591
0,500,1325.442616
0,500,1424.969254
0,500,1526.416613
0,500,1626.026097
0,500,1725.700493
0,500,1824.850996
0,500,1924.703165
0,500,2024.905695
0,500,2124.991377
0,500,2225.935079
0,500,2326.233114
1,3,2331.309958
0,500,2431.837498
0,500,2532.652787
0,500,2632.411956
0,500,2732.34778
0,500,2833.107136
0,500,2934.28191
0,500,3035.029176
0,500,3135.722174
0,8,3141.798595
0,500,3243.49015
0,500,3344.460529
0,375,3419.737104
0,500,3521.409333
0,500,3622.502474
0,500,3724.232162
0,500,3826.496277
0,224,3872.370868
0,500,3973.370735
0,369,4048.18428
0,500,4149.07574
0,500,4251.663914
0,500,4353.156927
0,500,4454.349568
0,500,4555.931575
0,500,4657.294732
0,500,4757.513802
0,500,4858.448859
0,500,4959.847604
1,2,4963.694226
0,500,5064.938476
0,500,5165.641081
0,500,5268.992378
0,500,5368.937613
0,500,5478.405153
0,500,5578.847125
0,500,5680.771912
0,500,5783.119312
0,500,5885.121744
0,500,5986.354626
0,2,5990.304302
0,500,6091.981186
0,36,6100.648196
1,6,6105.391103
0,500,6207.334023
0,376,6287.957199
0,500,6388.635299
0,385,6470.303919
0,348,6543.183347
0,12,6548.958732
0,291,6608.526442
0,68,6623.438392
0,196,6667.180101
1,12,6673.32097
0,190,6713.89114
0,292,6773.879964
1,5,6777.412682
0,276,6834.73694
0,500,6937.244527
0,148,6968.825204
0,279,7026.253291
0,173,7063.35408
0,207,7106.629304
0,2,7110.463244
0,64,7124.330948
0,191,7164.115037
0,160,7198.464736
0,62,7212.156513
0,268,7267.376222
1,4,7272.060719
0,90,7293.923098
1,2,7297.955807
0,289,7357.406156
1,4,7362.228493
0,228,7409.347611
0,258,7462.392898
0,276,7519.845632
0,185,7558.683916
0,184,7597.40203
1,2,7601.601424
0,223,7647.386946
0,66,7663.999246
0,207,7706.59697
0,2,7710.667303
0,86,7729.592048
0,179,7767.466842
0,44,7779.763805
1,2,7783.960563
0,2,7787.965692
0,112,7813.292084
0,115,7837.37425
0,38,7848.432442
0,38,7858.836615
0,168,7893.69646
0,163,7929.654608
0,40,7938.608468
0,123,7965.330418
0,192,8005.212957
0,165,8039.620113
0,22,8045.410089
0,86,8066.56951
0,112,8092.247671
0,103,8114.604275
0,55,8128.621608
0,110,8153.563479
0,15,8159.875198
0,61,8175.555904
0,106,8201.12982
0,111,8224.331631
0,2,8228.165272
0,69,8243.524209
0,45,8255.988637
0,153,8287.877563
0,89,8309.487273
0,19,8317.884465
0,47,8330.580173
0,77,8347.236597
0,113,8373.024321
0,94,8392.754124
1,2,8395.447912
0,1,8396.382853
0,28,8405.142351
0,166,8441.164144
0,118,8466.255868
0,81,8485.8341
0,95,8509.752387
0,110,8534.613816
0,4,8539.210414
0,44,8552.519588
0,133,8580.267802
0,52,8596.476631
0,72,8613.908008
0,2,8617.871616
0,107,8643.189499
0,80,8660.65215
0,116,8687.606909
0,7,8692.558595
0,2,8696.61031
0,124,8725.819172
1,2,8729.769717
0,29,8737.876757
0,52,8751.835322
0,76,8768.104584
0,88,8786.946658
0,65,8806.097295
0,70,8821.921082
0,89,8844.329909
0,74,8860.484995
0,92,8880.277812
0,68,8895.534261
0,55,8909.796833
0,50,8921.289992
0,23,8927.133572
0,33,8936.158921
0,75,8955.654479
0,38,8965.202271
0,24,8971.392106
1,2,8975.455114
0,81,8996.588509
0,67,9011.356793
0,74,9029.712371
1,2,9033.310836
0,62,9047.748896
0,28,9056.846235
0,24,9062.84161
0,73,9080.748378
0,30,9089.956429
0,35,9100.136705
0,23,9107.919252
0,44,9119.807828
1,6,9124.329045
1,2,9128.260227
0,50,9141.472643
0,73,9161.801142
0,64,9177.600293
0,18,9184.274471
0,76,9201.305618
0,33,9210.706641
0,39,9220.563724
0,13,9224.682059
1,2,9228.72982
0,64,9244.715265
1,2,9248.694029
0,51,9262.176624
0,29,9271.46173
0,47,9282.357661
0,82,9302.255088
0,2,9306.339517
0,10,9310.370534
0,101,9332.659462
0,32,9342.480564
0,75,9360.990421
1,2,9365.1273
0,25,9373.148631
0,43,9385.224655
1,4,9389.791377
0,53,9403.848218
0,75,9419.914897
0,55,9434.172269
0,74,9452.676707
1,2,9456.722372
0,58,9471.52717
1,2,9475.365696
0,9,9478.320308
0,50,9491.738041
0,85,9513.881815
0,40,9525.128264
0,29,9533.520024
0,103,9556.367922
1,2,9560.540249
0,69,9577.844564
1,2,9581.986885
1,44,9593.570789
1,43,9605.851203
1,2,9610.008895
0,57,9622.756534
0,84,9641.130198
0,66,9656.489606
0,46,9669.252392
0,2,9673.077093
0,45,9683.522701
0,21,9690.826829
1,2,9694.484015
0,43,9708.098745
0,18,9715.04055
0,91,9736.44535
0,30,9745.984729
0,54,9758.854279
0,58,9774.909631
0,42,9785.635062
0,94,9807.10465
0,56,9821.464239
0,48,9833.539788
0,2,9837.261255
0,43,9847.314142
0,72,9865.320505
0,4,9869.491929
0,22,9876.1902
0,63,9892.285292
1,3,9896.536606
1,2,9900.788136
0,14,9906.855395
0,51,9919.709866
0,25,9929.153015
0,66,9944.528841
0,39,9955.927549
0,42,9966.66043
0,3,9970.843815
0,92,9990.413952
0,53,10002.270448
0,52,10016.021093
0,68,10032.170959
0,25,10040.614492
0,14,10046.764285
0,56,10062.51426
0,10,10065.718059
0,14,10069.274322
0,70,10086.305788
0,56,10100.745341
1,2,10104.404535
0,22,10112.262681
1,4,10115.460195
0,12,10121.010481
0,39,10131.999089
0,31,10141.573951
0,77,10160.871486
0,70,10178.174881
0,36,10188.698437
0,27,10197.57207
0,42,10209.051857
0,49,10221.989024
0,37,10232.645567
0,71,10247.815719
0,20,10255.060713
1,47,10268.367192
0,2,10269.524959
1,2,10273.149557
0,22,10279.866241
0,21,10285.086304
0,27,10291.607454
0,73,10308.082208
1,2,10311.808124
1,2,10315.839917
0,34,10325.351424
0,50,10338.748895
0,48,10350.476096
0,32,10360.186038
1,2,10364.078906
1,3,10368.182347
0,43,10378.597373
0,60,10393.707687
1,2,10397.478416
0,41,10408.976092
0,29,10417.636181
0,61,10433.43906
1,2,10437.205904
0,45,10448.615917
0,48,10461.434327
0,42,10473.181495
0,53,10486.776543
0,43,10497.781078
0,18,10504.736519
0,17,10510.785319
0,50,10523.493261
0,2,10527.105927
0,52,10540.362922
0,23,10546.295866
1,2,10550.441733
0,68,10567.458738
0,40,10579.88825
0,63,10595.594908
1,2,10599.279865
0,16,10605.717723
1,6,10612.089226
0,33,10622.182958
0,19,10629.211186
0,15,10634.114605
0,19,10641.307158
0,63,10657.195249
0,18,10663.293766
0,25,10671.740661
0,7,10676.438182
0,5,10680.04531
0,73,10696.835244
0,64,10713.185773
0,26,10721.931617
0,5,10727.734972
0,17,10734.71657
1,2,10738.614426
0,56,10753.249684
0,29,10762.260764
0,54,10776.125042
0,41,10787.132241
0,66,10802.31324
0,65,10818.778446
0,37,10829.508461
0,36,10838.190367
1,1,10840.771431
1,43,10852.412004
1,2,10856.372649
0,1,10857.400792
0,44,10869.388581
0,29,10876.462382
0,28,10885.489407
0,32,10895.335224
0,25,10904.150659
0,32,10913.955409
0,69,10929.061563
0,48,10940.737115
0,2,10944.334769
0,40,10955.272362
0,34,10965.366991
0,21,10970.482658
1,3,10974.605289
0,46,10987.2158
0,49,11000.511205
1,2,11004.385372
0,55,11018.733386
1,1,11021.287138
0,41,11032.826752
0,21,11040.642544
0,46,11053.271991
0,9,11056.24657
1,4,11060.642625
0,43,11073.435288
0,4,11075.46119
0,3,11079.257347
0,68,11096.187239
1,2,11100.171275
0,55,11114.764746
0,30,11122.536696
0,39,11133.599015
0,29,11141.130355
0,50,11154.513349
1,2,11158.68368
0,39,11169.729776
1,2,11173.743809
0,49,11186.497116
0,40,11195.620383
0,29,11203.361699
0,73,11219.578707
0,74,11237.148761
0,34,11246.564967
0,33,11256.239116
0,2,11260.268186
0,15,11265.259878
0,41,11277.942517
0,37,11288.512842
0,77,11308.437957
0,46,11319.674524
0,36,11329.371865
0,21,11335.591516
0,38,11346.837405
1,2,11351.105627
0,17,11357.940788
0,24,11366.192577
0,52,11380.142725
0,51,11394.846557
0,42,11406.030413
0,29,11415.536445
0,22,11423.214324
0,62,11438.732385
0,86,11458.727646
0,42,11470.483937
0,32,11480.417823
0,73,11498.369157
0,43,11509.079911
0,32,11516.51866
0,35,11526.968226
0,45,11538.859147
0,55,11551.958852
0,34,11560.065387
0,54,11573.892147
0,24,11582.049118
0,27,11590.720421
0,9,11595.584215
0,56,11608.914183
1,4,11615.695057
1,2,11619.349643
0,48,11630.343566
1,2,11634.214977
0,52,11648.093652
0,14,11651.890062
0,16,11657.539829
0,43,11669.433904
0,17,11676.092449
0,40,11685.242035
0,79,11704.714032
0,22,11712.687735
0,64,11728.934622
0,39,11737.692361
0,55,11752.061872
0,41,11763.847974
0,68,11780.747519
1,2,11784.666474
0,21,11792.201256
0,60,11807.652107
0,31,11817.096567
0,72,11836.242787
0,38,11844.889431
0,47,11857.321529
0,74,11877.10731
0,71,11895.174586
0,36,11903.909471
1,1,11906.563393
1,40,11918.125633
0,79,11935.322861
0,68,11952.121629
1,2,11955.846865
0,27,11964.48647
0,56,11977.946315
0,49,11990.983332
0,61,12006.62926
1,2,12010.664637
1,2,12014.751653
1,3,12018.886438
0,24,12027.158397
0,66,12043.505415
0,67,12059.181533
0,7,12062.449501
0,75,12080.83924
1,2,12084.591769
0,56,12097.524443
0,73,12113.400819
0,12,12119.090892
1,2,12123.092182
0,46,12135.576329
1,2,12139.496998
0,23,12147.527137
0,36,12158.312372
0,53,12172.108452
1,2,12176.255251
0,37,12188.412165
0,42,12199.86395
0,93,12222.665853
0,59,12237.638797
0,47,12250.597924
0,62,12266.049649
0,38,12277.276637
0,24,12284.074764
0,18,12294.440343
0,35,12304.476538
0,38,12315.309122
0,33,12325.328483
0,13,12329.879082
1,2,12333.810948
0,64,12348.971774
0,26,12355.290801
0,56,12369.917771
0,12,12373.561964
0,2,12377.36841
0,59,12393.209409
0,9,12396.969662
0,26,12403.212384
0,23,12409.207462
0,71,12426.641572
1,4,12431.200879
0,1,12432.228444
0,54,12446.812887
0,24,12453.130162
0,29,12462.124464
0,74,12480.127252
0,28,12489.29019
0,34,12497.373386
0,67,12514.154642
0,51,12527.238876
0,2,12530.97256
0,31,12540.235474
0,22,12546.33387
1,2,12549.899405
1,2,12553.782238
0,33,12563.824027
0,24,12571.88439
0,58,12586.994893
1,2,12590.663937
0,59,12605.970843
0,50,12619.564905
0,52,12633.470555
0,66,12649.957764
0,29,12659.717486
0,37,12671.601667
0,2,12675.296854
0,29,12684.33853
1,2,12688.268815
1,3,12692.943387
0,1,12694.084548
0,14,12698.222876
1,2,12702.300267
0,42,12714.184282
0,9,12716.96821
0,47,12729.548976
0,2,12733.595211
0,42,12746.105346
