# {"t_start": 1567929268.6531463, "env_id": "PickbotReachOrientDoorHandle-v5"} 
r,l,t
0,31,2353.410565
0,16,2357.682324
0,8,2362.346827
0,24,2369.605997
0,11,2374.094049
0,31,2383.218665
1,2,2387.033453
0,17,2393.715302
0,17,2400.423604
0,44,2412.085385
0,24,2420.228972
0,42,2431.635992
0,26,2439.964459
1,2,2443.986842
0,32,2454.038865
0,24,2461.706445
0,3,2464.424308
0,51,2476.621177
0,16,2482.952055
0,28,2491.983243
0,28,2500.838077
0,32,2508.9862
0,38,2519.908647
1,2,2523.956781
1,1,2526.328568
0,29,2536.374722
0,35,2546.193905
0,21,2554.034902
0,35,2562.590132
0,46,2572.492065
0,16,2578.716852
0,21,2586.109688
0,29,2592.63078
1,1,2595.083478
0,28,2603.711403
0,42,2614.913734
0,14,2620.625766
1,2,2624.438454
0,46,2634.589707
1,2,2638.518537
1,28,2647.054957
0,24,2654.585984
0,2,2658.083653
0,45,2670.175757
0,25,2675.799239
0,38,2686.299596
0,43,2698.330493
0,46,2711.012762
1,2,2714.509373
0,47,2726.890625
0,16,2733.174064
0,32,2742.673481
1,2,2746.466859
0,2,2750.016614
0,41,2760.997475
0,28,2769.469934
1,2,2773.215972
1,2,2776.890055
0,54,2789.338732
0,41,2799.148589
0,34,2808.596692
0,22,2813.833431
1,2,2817.547166
0,30,2825.667537
1,2,2829.213901
0,47,2841.233799
0,26,2847.13945
0,32,2856.131117
0,2,2858.876552
0,37,2868.303187
0,18,2874.882801
0,13,2878.780089
0,6,2881.62134
0,51,2894.36684
0,8,2899.024907
1,2,2902.505842
0,26,2910.621691
0,46,2922.303801
1,2,2926.215804
0,1,2927.415356
0,4,2928.743233
1,2,2932.563338
0,23,2941.074155
0,14,2947.079195
0,17,2953.529906
0,17,2959.927758
0,16,2966.155085
0,51,2979.531756
0,51,2992.608762
0,17,2998.248756
0,2,2999.659107
0,19,3006.207172
0,19,3013.172066
1,2,3017.494719
0,37,3027.84709
1,2,3031.536991
0,6,3034.531426
0,18,3041.037474
1,2,3044.765333
0,15,3050.958193
1,2,3054.482532
1,2,3058.261912
0,23,3065.522588
1,2,3069.320797
1,1,3071.873213
0,2,3075.591672
0,14,3080.263095
1,2,3084.112887
0,34,3094.145065
0,16,3100.429013
0,10,3105.659127
0,47,3118.763499
1,2,3122.589443
0,28,3129.955046
0,48,3142.713305
0,25,3150.749254
0,2,3154.384425
0,35,3162.908724
1,2,3166.630058
0,31,3175.440264
1,2,3179.512067
0,51,3192.361908
0,18,3199.110858
0,8,3203.755578
0,22,3210.591655
0,29,3219.332626
0,34,3228.78091
1,2,3232.865761
0,44,3244.660256
0,34,3255.007101
0,23,3261.460603
0,16,3267.60303
1,2,3271.783394
0,28,3280.594584
0,3,3284.246037
0,49,3297.032965
1,2,3300.925615
0,10,3305.924278
0,15,3312.042817
0,34,3321.865237
1,2,3325.537867
0,29,3334.524225
0,10,3339.576829
0,16,3345.920842
0,42,3355.921598
0,34,3365.563951
0,9,3369.0807
0,6,3371.202374
0,16,3377.465516
0,29,3384.747828
0,47,3396.935685
0,3,3399.43688
0,34,3409.284293
0,26,3417.416219
0,19,3424.415996
0,16,3430.665568
0,33,3438.067771
0,41,3449.077496
0,26,3457.802841
0,16,3464.133155
0,46,3475.317079
0,35,3485.36522
0,25,3493.692581
1,2,3497.581953
0,16,3503.821228
0,46,3515.758282
0,18,3522.406967
0,42,3533.724109
0,16,3540.547829
0,9,3545.454235
0,43,3555.780773
0,49,3567.022627
1,2,3571.064496
1,2,3575.078232
0,24,3581.871278
0,41,3593.126864
0,16,3599.547046
0,13,3603.038169
1,2,3606.923731
0,30,3616.011197
0,28,3625.336508
0,49,3638.034667
0,16,3644.367314
0,19,3650.274143
0,42,3661.272551
0,36,3671.580151
1,2,3675.440843
1,2,3679.952174
0,29,3689.71959
0,41,3702.756726
0,35,3711.759306
0,39,3721.516818
0,35,3731.329676
0,19,3738.298213
0,22,3743.758746
0,17,3750.028701
1,2,3753.543998
1,2,3757.225769
1,2,3761.298967
0,51,3774.745621
0,15,3780.689785
0,28,3789.154772
0,11,3794.349656
1,1,3796.749202
1,28,3805.409877
0,47,3817.903134
0,16,3824.08043
0,25,3832.039189
0,38,3842.338881
0,41,3853.633092
0,19,3860.484511
1,1,3863.001016
1,28,3871.822859
0,48,3884.147926
1,2,3888.010663
0,6,3890.701753
0,4,3892.722327
0,28,3901.33083
0,50,3913.905492
0,27,3922.367822
0,16,3928.695507
0,40,3938.19498
0,24,3945.927397
0,22,3953.236929
0,16,3959.565266
0,31,3966.909367
0,23,3973.690679
0,38,3984.723841
1,2,3988.385027
0,26,3995.410352
0,27,4002.824196
0,25,4010.647882
0,25,4017.791647
0,33,4026.346069
1,2,4030.277581
1,28,4039.059998
0,19,4043.584881
0,1,4044.452664
0,1,4045.287568
0,47,4056.717123
0,29,4065.589226
0,40,4076.646633
1,2,4080.543682
0,28,4087.834846
0,42,4099.514115
0,14,4105.413084
0,28,4115.836629
0,14,4121.740375
0,14,4127.742228
1,2,4131.794163
0,38,4143.976971
0,8,4148.631317
0,20,4154.286551
0,43,4164.887791
0,15,4171.502682
0,16,4177.863339
0,8,4181.784901
0,45,4193.938622
0,53,4208.244006
0,34,4218.308455
0,22,4229.391
0,17,4233.634597
0,43,4244.495613
0,32,4253.734599
0,15,4259.90458
1,2,4264.047164
0,28,4271.989014
0,45,4284.711771
1,2,4288.466577
0,30,4297.429641
0,29,4304.394286
0,46,4316.494778
0,30,4324.703856
1,2,4328.739342
0,30,4337.961064
0,35,4345.69128
0,19,4352.365208
0,35,4360.146687
0,23,4367.681119
0,20,4372.91078
1,1,4375.38611
0,4,4376.811906
0,16,4383.136251
0,2,4387.163008
0,43,4403.932052
0,5,4408.083507
0,12,4412.515681
0,32,4420.987822
0,35,4429.97746
0,15,4434.704644
0,36,4445.351223
0,2,4448.878721
0,33,4457.901999
0,16,4464.201894
0,33,4472.372686
0,30,4481.604844
0,19,4488.399693
0,30,4498.694716
1,1,4502.105015
1,28,4510.688586
0,49,4523.25313
0,11,4531.857736
0,42,4542.207155
0,25,4550.172532
0,33,4559.61108
0,44,4569.258387
0,33,4579.4727
0,31,4587.695371
0,16,4593.944684
1,1,4596.432451
0,18,4600.959429
0,18,4607.831712
0,10,4612.822414
0,46,4624.482479
0,25,4632.705018
0,39,4643.894717
0,36,4654.174304
0,18,4658.455623
0,16,4664.670099
0,25,4672.660366
0,28,4681.298807
0,34,4691.261574
0,42,4702.76768
0,10,4708.401646
0,38,4718.212478
0,34,4728.598619
0,34,4739.434047
0,11,4745.042645
0,37,4755.476686
0,15,4761.433481
0,31,4770.398763
0,18,4776.971258
0,25,4786.625009
0,27,4795.036791
0,21,4803.229203
0,26,4811.403056
0,14,4818.117033
0,12,4823.558599
0,15,4829.530798
0,53,4843.016128
0,29,4851.762888
0,16,4858.08285
0,10,4863.091835
0,8,4867.767047
0,16,4873.967014
0,25,4880.677747
0,16,4886.936309
0,39,4898.288267
1,2,4902.13385
0,44,4912.561265
0,1,4913.402101
0,1,4914.142194
0,18,4920.706774
0,29,4927.216418
0,47,4939.121219
0,16,4945.23959
0,38,4955.416511
0,53,4968.645267
0,2,4972.399801
0,16,4978.535965
0,6,4982.712245
0,22,4990.592343
0,29,4997.399931
0,28,5003.09433
0,29,5011.56204
0,21,5016.424139
0,31,5025.154688
1,2,5028.946289
0,16,5035.475439
0,33,5044.898665
0,31,5051.365365
0,2,5054.864544
0,51,5066.192914
0,38,5075.456377
1,2,5079.320619
0,7,5081.258779
0,1,5082.119455
0,26,5090.050678
0,26,5098.124948
0,21,5105.213807
0,52,5117.924274
0,42,5129.2254
0,11,5134.415629
0,24,5141.994309
0,29,5148.478339
0,33,5156.374795
1,2,5160.235546
0,28,5167.95331
0,25,5173.738392
0,40,5184.429579
0,50,5196.737629
0,36,5204.33824
0,15,5208.878163
0,15,5214.756733
0,35,5224.39238
0,17,5230.818779
0,40,5241.499602
0,2,5245.066216
0,26,5252.936084
0,30,5261.826734
0,26,5269.936588
0,15,5273.802694
0,10,5278.699566
0,13,5282.943056
0,30,5291.011298
0,43,5302.317622
0,37,5312.758083
0,28,5318.943789
0,12,5322.319045
0,16,5328.45377
0,16,5334.541421
0,39,5344.925523
0,35,5353.672358
0,28,5362.457051
0,500,5620.38006
0,38,5629.55515
0,38,5640.002647
0,2,5644.188363
0,53,5657.06409
0,28,5665.491319
0,16,5671.568226
0,21,5677.596156
0,30,5686.258806
1,2,5690.220724
1,2,5694.22068
0,48,5706.343328
1,1,5708.843832
0,28,5717.36749
0,31,5724.582251
1,1,5726.843453
0,29,5735.462342
0,7,5739.147621
0,30,5747.797542
0,2,5751.320612
0,34,5760.154508
0,13,5765.61582
0,40,5776.813189
0,18,5782.106085
0,47,5792.534986
1,2,5796.361823
0,2,5800.02766
0,2,5803.516486
0,20,5810.206684
0,55,5822.728439
0,14,5828.525385
0,33,5838.22099
0,24,5845.113957
0,16,5849.105864
0,20,5855.798402
0,48,5867.217332
1,2,5871.193336
0,45,5881.584507
0,24,5889.268246
0,10,5894.188829
1,1,5896.538554
0,24,5902.03389
0,25,5910.132149
1,1,5912.552356
0,2,5916.119531
0,44,5926.547462
0,35,5935.982868
0,30,5944.909113
0,16,5951.09205
0,8,5955.609506
1,2,5959.39736
1,1,5961.954543
0,28,5969.080547
0,42,5979.976316
1,2,5983.46754
0,23,5991.016235
0,32,5999.946571
0,4,6001.760713
0,25,6008.936292
0,16,6015.048717
0,14,6018.766573
1,2,6022.449698
0,32,6031.770789
0,10,6036.761333
0,25,6044.593023
0,51,6057.149307
0,29,6063.706433
0,33,6074.587539
0,37,6084.624612
1,2,6088.175023
1,2,6091.962506
0,27,6100.152312
0,25,6107.847224
0,41,6118.856257
0,39,6129.17159
0,51,6141.906986
0,17,6148.230922
0,16,6154.261061
0,23,6159.581479
0,38,6169.654676
0,33,6178.787959
1,2,6182.681629
0,14,6188.406856
0,37,6198.246811
0,36,6206.004365
0,12,6211.376764
1,2,6214.877766
0,41,6225.449759
0,32,6232.999123
0,17,6238.014421
0,27,6246.075121
0,44,6257.348649
0,21,6264.441277
0,15,6269.341724
0,2,6272.799931
0,21,6279.675902
0,5,6281.259654
0,25,6287.981961
0,49,6301.706272
0,18,6308.104687
1,2,6311.918923
0,28,6320.208201
0,35,6329.9898
0,38,6340.764853
0,52,6353.492148
1,2,6357.44542
1,17,6364.135212
0,21,6369.0743
0,27,6375.792036
0,42,6386.99072
0,40,6397.742796
0,37,6407.604571
0,29,6415.914725
0,13,6421.228954
0,30,6429.790461
1,2,6433.531428
0,23,6441.149951
0,35,6450.896594
0,34,6460.455208
0,10,6464.177638
0,47,6475.639665
0,20,6480.430333
1,2,6483.814697
0,31,6492.758725
0,37,6502.751822
0,19,6508.892774
1,2,6512.724477
0,42,6523.748133
0,9,6526.446226
0,12,6531.746665
0,41,6541.364917
0,29,6549.976576
0,37,6560.051563
0,16,6566.134182
0,28,6574.800832
0,46,6586.432996
0,36,6596.300405
0,41,6605.122491
0,12,6610.758482
0,19,6617.774976
1,2,6621.469444
0,41,6632.611686
0,36,6642.839311
1,2,6646.818799
1,28,6655.620583
0,42,6666.74486
0,43,6677.132244
0,30,6686.296457
0,38,6694.538042
0,36,6704.49152
0,18,6711.300671
0,14,6717.035931
0,16,6723.914093
0,2,6727.486967
0,15,6733.650007
1,2,6737.436027
0,28,6746.085734
1,2,6749.634393
