approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
1.297284e-12,0.0,19.568627450980394,0.29411764705882354,0.6805731654167175,2,1,0.0017400391,-6.740447e-08,1024,350.10805544000004,1024,0.009199625
5.344404e-13,0.0,19.08,0.23,0.8523914217948914,2,10,0.0016378972,-1.231092e-07,10240,3389.02445102,10240,0.0018230921
1.4661642e-12,0.0,24.25,0.17,0.7616282552480698,3,20,0.0012732297,-8.882489e-08,20480,6672.389017807,20480,0.001884729
3.6008848e-13,0.0,22.33,0.2,0.9507846273481846,3,30,0.0013282859,2.9802322e-08,30720,10014.78647036,30720,0.0003790235
3.362177e-12,0.0,27.95,0.15,0.9882367346435785,3,40,0.0013638008,-7.660128e-08,40960,13309.315454302001,40960,6.7554865e-05
7.710056e-13,0.0,21.93,0.15,0.8393633663654327,3,50,0.0013830551,-6.600749e-08,51200,16511.754966705,51200,0.000580211
8.8409796e-14,0.0,23.86,0.18,0.7396624982357025,3,60,0.0012281381,9.8661985e-09,61440,19644.277287671,61440,0.0034325821
4.58795e-13,0.0,24.51,0.16,0.9797999430447817,3,70,0.0011950856,-1.4377292e-08,71680,23033.038399627,71680,0.00013613972
