entloss,entropy,eplenmean,eprewmean,eprewsem,epsofar,epthisiter,ev_tdlam_before,meankl,optimgain,surrgain,timelapsed,timestepsofar
0.0,8.414539,2.275,-4.8800116,2.0619752,543,543,0.08716017007827759,0.0010000165,0.023311276,0.023311276,544.1318984031677,1017
0.0,8.397185,2.1,-4.762146,1.8679459,1093,550,0.10509562492370605,0.0010561694,0.022737624,0.022737624,1089.3568518161774,2048
0.0,8.377326,1.9,-4.51959,1.799337,1673,580,0.0889502763748169,0.0010025594,0.024119724,0.024119724,1637.7211394309998,3070
0.0,8.354987,2.2,-4.8127365,2.5747235,2211,538,0.1107947826385498,0.0011066003,0.026078079,0.026078079,2186.1612071990967,4094
0.0,8.332497,1.825,-4.422091,1.8564645,2806,595,0.12147808074951172,0.0010622838,0.025642157,0.025642157,2745.4318931102753,5118
0.0,8.311931,1.65,-4.3270407,0.9161081,3415,609,0.1095893383026123,0.0011306882,0.02513289,0.02513289,3299.1250400543213,6144
0.0,8.290061,1.5,-4.0796204,0.9550544,4050,635,0.09893035888671875,0.0011345604,0.025639204,0.025639204,3854.192631959915,7163
0.0,8.265576,1.725,-4.367793,1.6377187,4711,661,0.09215539693832397,0.0010402384,0.026798675,0.026798675,4411.74745798111,8192
0.0,8.241383,1.475,-4.0444574,0.91304237,5409,698,0.014255344867706299,0.0010356526,0.027628887,0.027628887,4972.4293394088745,9216
0.0,8.2170515,1.55,-4.129077,0.9786149,6104,695,0.06725925207138062,0.0010362958,0.0266614,0.0266614,5532.485013961792,10240
0.0,8.191421,1.5,-4.0238333,1.0977404,6821,717,0.05240815877914429,0.0010696778,0.027267316,0.027267316,6095.430380105972,11264
0.0,8.165206,1.375,-3.9451356,1.2159235,7546,725,0.06297403573989868,0.0010288891,0.026996557,0.026996557,6658.50913143158,12287
0.0,8.132869,1.325,-3.8664322,0.7852416,8300,754,0.04098188877105713,0.0009971324,0.029155916,0.029155916,7230.103016138077,13312
0.0,8.104588,1.475,-4.0177526,1.0769279,9043,743,0.09805214405059814,0.0010503463,0.02940423,0.02940423,7803.749987125397,14336
0.0,8.075072,1.65,-4.201864,1.4259394,9803,760,0.07461154460906982,0.0010396317,0.027752776,0.027752776,8366.900513887405,15360
0.0,8.050483,1.1,-3.656324,0.36806092,10570,767,0.09336918592453003,0.0011647844,0.030397283,0.030397283,8931.74407196045,16384
0.0,8.01865,1.3,-3.8817742,0.8218739,11372,802,0.056864380836486816,0.00103078,0.028922763,0.028922763,9498.5807659626,17406
0.0,7.9876966,1.25,-3.8919137,0.6182046,12182,810,0.04108327627182007,0.0010455889,0.031334896,0.031334896,10064.014720916748,18432
0.0,7.955986,1.3,-3.8725028,1.0055605,12994,812,0.05830341577529907,0.0010303799,0.03270291,0.03270291,10632.834759235382,19456
0.0,7.9221873,1.35,-3.961042,0.64942014,13817,823,0.055575668811798096,0.0010706487,0.030006405,0.030006405,11207.509489297867,20480
0.0,7.8877406,1.05,-3.5716596,0.4135684,14670,853,0.0701020359992981,0.0010458843,0.03252905,0.03252905,11782.558325529099,21501
0.0,7.8525243,1.125,-3.5825043,0.5494467,15555,885,0.06109720468521118,0.0010560763,0.030384861,0.030384861,12371.876260519028,22528
0.0,7.8155336,1.125,-3.619409,0.5234879,16431,876,0.05768364667892456,0.0009969869,0.029348932,0.029348932,12945.796472787857,23552
0.0,7.779721,1.275,-3.8860106,0.6939283,17321,890,0.07470583915710449,0.0010199372,0.031629033,0.031629033,13524.03281879425,24576
0.0,7.7425237,1.075,-3.6218631,0.40852034,18238,917,0.06486737728118896,0.0010114708,0.028327197,0.028327197,14101.362294197083,25600
0.0,7.7077475,1.2,-3.6811562,0.55401164,19164,926,0.05515187978744507,0.0011547328,0.02988407,0.02988407,14681.213295221329,26624
0.0,7.6731687,1.05,-3.5368533,0.35085726,20085,921,0.0821678638458252,0.001178291,0.027876686,0.027876686,15264.740318536758,27648
0.0,7.6341505,1.075,-3.5252013,0.23586643,21022,937,0.04307204484939575,0.0010151591,0.029115012,0.029115012,15851.881192445755,28672
0.0,7.596534,1.15,-3.6795223,0.6744399,21943,921,0.09325939416885376,0.0010235675,0.03158149,0.03158149,16428.655420064926,29696
0.0,7.556458,1.125,-3.6356797,0.48576474,22891,948,0.07964038848876953,0.0010187895,0.028057028,0.028057028,17004.122732400894,30720
0.0,7.517308,1.125,-3.652574,0.50546855,23838,947,0.07190495729446411,0.0010017164,0.028622225,0.028622225,17584.44790005684,31744
0.0,7.4790077,1.125,-3.582994,0.45727876,24806,968,0.05408430099487305,0.0010928377,0.027852189,0.027852189,18164.67398238182,32768
0.0,7.4387393,1.025,-3.5006566,0.31557158,25772,966,0.06345510482788086,0.0010036166,0.028239489,0.028239489,18742.992735385895,33792
0.0,7.400035,1.125,-3.631548,0.52232873,26748,976,0.06139642000198364,0.0010622942,0.02674956,0.02674956,19318.177935361862,34816
0.0,7.3600225,1.05,-3.536403,0.37831685,27723,975,0.07159465551376343,0.0011324498,0.027685083,0.027685083,19900.831000328064,35840
0.0,7.317085,1.0,-3.408342,0.20383501,28714,991,0.0554690957069397,0.000992006,0.024784766,0.024784766,20483.23950767517,36864
0.0,7.2764597,1.05,-3.497686,0.2786514,29690,976,0.05199176073074341,0.0010588445,0.027777363,0.027777363,21057.889677286148,37888
0.0,7.2388306,1.025,-3.5058036,0.2377854,30679,989,0.05163311958312988,0.0014316831,0.023474788,0.023474788,21646.03907060623,38912
0.0,7.197362,1.025,-3.4562263,0.32078046,31680,1001,0.033320486545562744,0.001021234,0.02323832,0.02323832,22225.745157003403,39936
0.0,7.161621,1.025,-3.3922982,0.21490513,32687,1007,0.02314084768295288,0.0010158403,0.022983547,0.022983547,22809.956116199493,40960
0.0,7.120251,1.0,-3.454837,0.1861654,33694,1007,0.03076624870300293,0.0010674864,0.021530932,0.021530932,23386.87790632248,41984
0.0,7.0800104,1.025,-3.4794655,0.28600815,34697,1003,0.041926562786102295,0.0010139251,0.024716044,0.024716044,23966.573974609375,43008
