entloss,entropy,eplenmean,eprewmean,eprewsem,epsofar,epthisiter,ev_tdlam_before,meankl,optimgain,surrgain,timelapsed,timestepsofar
0.0,3.2847667,1.0,-3.0394814,0.08465459,1023,1023,0.055459678173065186,0.00042137667,0.005870891,0.005870891,584.9003343582153,1024
0.0,3.2809167,1.0,-3.0543299,0.082904406,2046,1023,0.003798961639404297,0.00041939906,0.002497157,0.002497157,1167.716616153717,2048
0.0,3.280068,1.0,-3.0581949,0.0828066,3068,1022,0.04559105634689331,0.0007137249,0.002225183,0.002225183,1751.0784900188446,3072
0.0,3.219391,1.0,-3.0370774,0.08010713,4092,1024,-4.935264587402344e-05,0.0010097581,0.027297234,0.027297234,2334.7949035167694,4096
0.0,3.163019,1.0,-3.0388572,0.08410664,5116,1024,4.547834396362305e-05,0.0010117285,0.028894752,0.028894752,2917.1268820762634,5120
0.0,3.149473,1.0,-3.0685296,0.13717785,6139,1023,0.0001677870750427246,0.00046319235,2.688498,2.688498,3501.8258550167084,6144
0.0,3.1023073,1.0,-3.0387235,0.08913453,7163,1024,3.039836883544922e-05,0.0010115162,0.026715452,0.026715452,4082.604389190674,7168
0.0,3.0891256,1.0,-3.072473,0.09648671,8186,1023,6.431341171264648e-05,0.0006167501,0.01505218,0.01505218,4667.5334215164185,8192
0.0,3.0366592,1.0,-3.037458,0.09387872,9210,1024,-1.728534698486328e-05,0.0010131847,0.027040336,0.027040336,5247.034677267075,9216
0.0,2.9801722,1.0,-3.0429363,0.071275376,10234,1024,3.2067298889160156e-05,0.0010113607,0.025838036,0.025838036,5830.705601930618,10240
0.0,2.9231234,1.0,-3.0373545,0.05883078,11258,1024,-5.960464477539062e-07,0.0010128021,0.02460733,0.02460733,6413.568578958511,11264
0.0,2.8644776,1.0,-3.037283,0.0658625,12282,1024,-5.602836608886719e-05,0.0010100852,0.024069645,0.024069645,6997.187424182892,12288
0.0,2.8059182,1.0,-3.038787,0.099190906,13306,1024,8.20159912109375e-05,0.0010119647,0.023472913,0.023472913,7582.780567169189,13312
0.0,2.743502,1.0,-3.0271957,0.08410955,14329,1023,0.058470189571380615,0.0010060926,0.020980034,0.020980034,8164.9654223918915,14336
0.0,2.7313137,1.0,-3.021156,0.09399604,15352,1023,7.092952728271484e-06,0.00038171106,0.028433314,0.028433314,8750.498284101486,15360
0.0,2.726674,1.0,-3.0679348,0.12035848,16375,1023,-0.0004055500030517578,0.00048032077,0.023279866,0.023279866,9335.679030895233,16384
0.0,2.6674154,1.0,-3.0242982,0.067015275,17399,1024,8.89897346496582e-05,0.0010109502,0.023216046,0.023216046,9917.809017181396,17408
0.0,2.6145277,1.0,-3.0130677,0.06524642,18423,1024,4.416704177856445e-05,0.0010144296,0.024142139,0.024142139,10503.255823135376,18432
0.0,2.5567381,1.0,-3.0226436,0.076571375,19447,1024,-5.352497100830078e-05,0.0010110949,0.024098452,0.024098452,11086.362678050995,19456
0.0,2.4975233,1.0,-3.0452275,0.06773231,20471,1024,6.67572021484375e-06,0.0010091662,0.026656318,0.026656318,11669.002591609955,20480
0.0,2.4393075,1.0,-3.0215256,0.07312606,21495,1024,7.826089859008789e-05,0.0010101798,0.022072932,0.022072932,12252.998581171036,21504
0.0,2.385723,1.0,-3.0208278,0.06598332,22519,1024,-1.0848045349121094e-05,0.001011831,0.02172666,0.02172666,12837.748834609985,22528
0.0,2.3242552,1.0,-3.0226378,0.062527694,23543,1024,-0.00013697147369384766,0.0010103583,0.021850027,0.021850027,13423.116597414017,23552
