# {"env_id": "PickbotPickContinuousDoorHandle-v0", "t_start": 1560348626.379589} 
r,l,t
-3.198531,1,142.055443
-2.966671,1,142.605186
-3.087103,1,143.150921
-2.945615,1,143.732681
-2.987374,1,144.281577
-3.034317,1,144.837278
-3.038875,1,145.429352
-2.980308,1,146.014441
-2.97906,1,146.571751
-2.945587,1,147.135029
-2.886536,1,147.705596
-3.183515,1,148.262815
-3.122871,1,148.850856
-2.98479,1,149.430817
-3.061089,1,149.992378
-3.04218,1,150.552178
-2.942431,1,151.240362
-3.116088,1,151.843534
-3.113439,1,152.393979
-2.900525,1,152.951787
-2.989986,1,153.508989
-2.965649,1,154.088156
-3.183639,1,154.656689
-3.035433,1,155.233473
-3.253509,1,155.794407
-3.150008,1,156.361092
-3.044375,1,156.923472
-3.0139,1,157.482312
-3.025956,1,158.016349
-3.212218,1,158.579159
-2.826549,1,159.147956
-2.994809,1,159.773214
-3.015548,1,160.353781
-3.06343,1,160.951556
-3.067724,1,161.614561
-2.961725,1,162.186229
-2.886848,1,162.746003
-3.191981,1,163.307337
-3.058387,1,163.85103
-3.040368,1,164.430483
-2.964887,1,165.005823
-2.990056,1,165.598201
-3.17019,1,166.152772
-3.111965,1,166.752323
-2.979245,1,167.300524
-2.924826,1,167.863188
-2.96942,1,168.449603
-2.977229,1,169.002638
-2.979414,1,169.592752
-3.002929,1,170.160938
-2.99847,1,170.720297
-3.119717,1,171.288129
-3.150684,1,171.842064
-3.03332,1,172.413615
-2.970989,1,172.993688
-3.027574,1,173.585635
-3.149359,1,174.131556
-3.09492,1,174.688795
-3.111397,1,175.306241
-3.115626,1,175.858889
-3.13537,1,176.44189
-2.978091,1,177.024589
-2.99576,1,177.579882
-3.036995,1,178.132219
-3.035021,1,178.687464
-2.994113,1,179.285347
-3.009058,1,179.829184
-3.048571,1,180.401686
-3.188058,1,180.943212
-2.982558,1,181.592434
-3.249107,1,182.13426
-3.138037,1,182.677196
-3.020256,1,183.228892
-3.121799,1,183.828661
-3.100868,1,184.418345
-3.153709,1,184.967046
-2.966306,1,185.545701
-2.982358,1,186.115304
-3.152517,1,186.684359
-3.112229,1,187.277763
-2.960501,1,187.864446
-3.007558,1,188.439291
-3.090554,1,189.041796
-3.206806,1,189.607441
-3.002875,1,190.193341
-2.96595,1,190.785179
-2.962931,1,191.343556
-2.987713,1,191.954629
-3.021185,1,192.506463
-3.177417,1,193.071492
-3.155952,1,193.657021
-3.150718,1,194.213578
-2.969163,1,194.769225
-3.061274,1,195.376277
-3.037238,1,195.964602
-3.022737,1,196.550936
-2.963595,1,197.104654
-2.994202,1,197.678075
-3.099507,1,198.302585
-2.879926,1,198.864884
-2.971243,1,199.44954
-2.964954,1,200.020343
-3.045181,1,200.566583
-3.052606,1,201.124523
-2.977945,1,201.664781
-2.969682,1,202.223605
-2.97312,1,202.776006
-3.046534,1,203.333059
-3.249575,1,203.878561
-3.075452,1,204.445747
-3.116166,1,204.992705
-3.075681,1,205.541881
-2.974685,1,206.101171
-3.420265,1,206.640622
-3.400756,1,207.217386
-3.033481,1,207.799723
-3.034754,1,208.36216
-3.196233,1,208.922065
-2.898527,1,209.469876
-3.027179,1,210.01718
-3.129102,1,210.567624
-2.958555,1,211.138791
-3.040384,1,211.690949
-3.149528,1,212.261115
-2.986069,1,212.841985
-2.988891,1,213.394914
-3.028812,1,213.948745
-3.01764,1,214.532853
-2.979216,1,215.075394
-2.945577,1,215.637207
-3.034033,1,216.208037
-3.168491,1,216.776763
-2.985508,1,217.325722
-3.088575,1,217.912837
-3.279654,1,218.442405
-3.061286,1,218.995476
-2.995966,1,219.600985
-2.982329,1,220.201232
-2.976429,1,220.757515
-3.0468,1,221.320817
-3.085715,1,221.900949
-3.072773,1,222.460524
-3.340712,1,222.983331
-3.038334,1,223.545105
-3.03621,1,224.098431
-3.186422,1,224.643959
-2.927491,1,225.208394
-2.943961,1,225.761434
-2.994112,1,226.313951
-3.312871,1,226.865655
-3.033828,1,227.41879
-3.101289,1,228.011036
-3.07332,1,228.661819
-2.931674,1,229.232888
-3.123299,1,229.790596
-2.998006,1,230.351179
-3.041528,1,230.910494
-3.151534,1,231.445428
-3.200509,1,231.980848
-3.030215,1,232.538602
-3.203853,1,233.088854
-3.00324,1,233.633693
-3.162755,1,234.18717
-3.146345,1,234.748108
-2.980032,1,235.301847
-3.086962,1,235.90063
-2.991282,1,236.444468
-3.126342,1,236.99973
-3.110035,1,237.522937
-2.973763,1,238.071933
-2.994603,1,238.630342
-2.917438,1,239.205646
-3.001454,1,239.798265
-3.069488,1,240.354172
-3.077419,1,240.933584
-2.968745,1,241.502921
-3.007432,1,242.054415
-3.229408,1,242.609593
-3.18889,1,243.171772
-3.193778,1,243.738783
-3.163164,1,244.285773
-2.98941,1,244.861027
-2.982178,1,245.431574
-3.019474,1,245.992181
-3.028892,1,246.572342
-3.09004,1,247.160387
-3.07988,1,247.704932
-3.040906,1,248.269522
-3.039652,1,248.845901
-2.987843,1,249.426406
-2.949734,1,250.060906
-3.052514,1,250.685785
-3.089319,1,251.25504
-3.241567,1,251.802076
-2.949409,1,252.357554
-2.984671,1,252.914405
-3.024863,1,253.458976
-2.891117,1,254.034082
-3.287509,1,254.588088
-2.944802,1,255.146409
-2.948224,1,255.70948
-3.015557,1,256.265985
-3.047103,1,256.827196
-2.9909,1,257.386983
-3.025074,1,257.948408
-2.986211,1,258.501463
-2.990682,1,259.065471
-3.057128,1,259.630874
-3.056189,1,260.198051
-2.878216,1,260.754252
-3.145084,1,261.309194
-3.215863,1,261.846628
-2.968023,1,262.418701
-3.042515,1,262.978454
-3.336204,1,263.515438
-2.982229,1,264.089044
-3.055484,1,264.710413
-3.043599,1,265.266089
-2.959826,1,265.846895
-3.182239,1,266.409817
-3.125269,1,266.96895
-3.07242,1,267.561724
-3.024361,1,268.161694
-3.033536,1,268.721514
-3.064896,1,269.282116
-3.073105,1,269.858751
-3.040955,1,270.44346
-3.048558,1,271.061737
-2.908858,1,271.60063
-2.999941,1,272.174124
-3.126391,1,272.74427
-3.08625,1,273.328074
-3.190427,1,273.872807
-3.219727,1,274.428481
-2.986573,1,274.982081
-3.070772,1,275.564295
-3.10567,1,276.104444
-3.241588,1,276.690275
-2.998324,1,277.253672
-3.050566,1,277.822474
-2.993831,1,278.407485
-2.936598,1,278.966255
-2.861494,1,279.536925
-3.015258,1,280.11846
-3.0906,1,280.705997
-2.968862,1,281.2597
-3.045239,1,281.808509
-3.095953,1,282.391518
-3.041634,1,282.948299
-3.221232,1,283.499946
-3.070693,1,284.103476
-2.991968,1,284.683371
-3.062252,1,285.254983
-2.982834,1,285.835834
-3.187233,1,286.37677
-2.988771,1,286.943511
-2.985102,1,287.5585
-2.912094,1,288.133673
-3.187403,1,288.672305
-3.034369,1,289.271951
-3.111787,1,289.852416
-3.035583,1,290.405143
-3.05339,1,290.999727
-3.067543,1,291.570218
-3.146145,1,292.114024
-3.125348,1,292.664172
-3.35934,1,293.249526
-3.062128,1,293.847147
-2.969388,1,294.416063
-3.107696,1,294.980994
-3.144879,1,295.51225
-3.046154,1,296.093625
-3.184347,1,296.65184
-2.98418,1,297.242112
-3.063997,1,297.805031
-3.121231,1,298.373717
-3.250034,1,298.901166
-2.944031,1,299.489022
-2.943023,1,300.052776
-2.976519,1,300.617205
-3.024317,1,301.179258
-3.009011,1,302.074647
-2.990349,1,302.626318
-2.983094,1,303.21756
-3.04518,1,303.783745
-3.099927,1,304.372581
-3.012907,1,304.929322
-2.998567,1,305.481498
-3.308079,1,306.039105
-2.959273,1,306.607051
-2.913342,1,307.16796
-3.119013,1,307.729307
-3.029891,1,308.280916
-3.092308,1,308.826249
-3.221043,1,309.376091
-3.018606,1,309.930441
-2.988627,1,310.481791
-3.091042,1,311.024791
-3.058456,1,311.594006
-2.975454,1,312.175037
-2.879541,1,312.758506
-2.962613,1,313.330591
-3.052016,1,313.896504
-3.133093,1,314.455817
-3.019352,1,315.003196
-3.089451,1,315.584361
-3.037874,1,316.142331
-3.248648,1,316.688426
-2.987867,1,317.279559
-3.322606,1,317.819916
-3.169877,1,318.384418
-3.185965,1,318.92634
-3.046573,1,319.477532
-2.956997,1,320.027173
-2.920442,1,320.583668
-3.031809,1,321.143632
-3.028475,1,321.708827
-3.192056,1,322.340505
-3.040181,1,322.917406
-3.096352,1,323.512576
-3.084416,1,324.068255
-3.039156,1,324.635688
-3.002948,1,325.202949
-3.122683,1,325.815604
-2.926394,1,326.364276
-3.033978,1,326.914217
-3.018329,1,327.470776
-3.069911,1,328.055634
-3.070476,1,328.607653
-3.012678,1,329.181002
-2.991428,1,329.776563
-3.183402,1,330.33574
-3.152517,1,330.885674
-2.983484,1,331.466803
-2.944945,1,332.028873
-2.9691,1,332.605119
-2.895374,1,333.163202
-3.123081,1,333.716619
-3.028123,1,334.288125
-3.035537,1,334.860678
-3.092925,1,335.455615
-3.056776,1,336.029338
-2.94774,1,336.600891
-3.08231,1,337.17967
-3.079423,1,337.726073
-3.004278,1,338.306939
-3.278342,1,338.874352
-2.927046,1,339.518473
-2.974759,1,340.068582
-3.089439,1,340.623497
-3.043708,1,341.190628
-3.148057,1,341.785275
-3.002179,1,342.344741
-2.996116,1,342.922092
-3.14049,1,343.499414
-3.021111,1,344.07214
-3.052447,1,344.626842
-3.128566,1,345.192471
-3.174835,1,345.742357
-3.019927,1,346.306502
-2.988806,1,346.853932
-3.136756,1,347.432495
-3.13735,1,347.984025
-3.035834,1,348.537004
-3.05861,1,349.131328
-3.020195,1,349.679177
-3.041007,1,350.23623
-2.919372,1,350.792362
-2.981275,1,351.362409
-2.99434,1,351.933224
-2.977364,1,352.501293
-3.141641,1,353.074996
-2.905803,1,353.644632
-3.03076,1,354.215388
-3.30153,1,354.758806
-3.072174,1,355.360758
-3.198214,1,355.908628
-3.03554,1,356.48167
-3.033325,1,357.036476
-3.079398,1,357.615906
-2.948873,1,358.171833
-3.061366,1,358.724565
-3.182222,1,359.292814
-2.97477,1,359.863754
-3.033019,1,360.445465
-3.0128,1,361.003263
-2.96278,1,361.600201
-3.033789,1,362.152924
-3.085121,1,362.77172
-3.025104,1,363.339292
-3.045588,1,363.935026
-3.111583,1,364.479243
-3.000967,1,365.049785
-3.104708,1,365.640612
-3.141267,1,366.235522
-3.032716,1,366.8251
-2.974166,1,367.388374
-3.177514,1,367.95573
-2.987079,1,368.528804
-3.208852,1,369.10631
-3.089103,1,369.671079
-3.053149,1,370.226313
-3.137828,1,370.79261
-3.21999,1,371.365932
-3.140497,1,371.937873
-2.986823,1,372.483887
-3.164465,1,373.036496
-3.024107,1,373.599141
-3.000406,1,374.197086
-3.117038,1,374.783374
-3.29391,1,375.363751
-2.902326,1,375.917798
-2.975422,1,376.490935
-3.077282,1,377.053813
-2.897143,1,377.611076
-2.978589,1,378.215353
-3.178356,1,378.744322
-2.975818,1,379.319688
