entloss,entropy,eplenmean,eprewmean,eprewsem,epsofar,epthisiter,ev_tdlam_before,meankl,optimgain,surrgain,timelapsed,timestepsofar
-0.0,-7.4727287,1.0,-2.9621108,0.009335396,483303,1024,-3.9458274841308594e-05,0.0010110991,0.0036318935,0.0036318935,277352.030752182,483328
-0.0,-7.4595637,1.0,-2.9584076,0.01180616,484327,1024,2.753734588623047e-05,0.0009928863,0.0035988828,0.0035988828,277940.8085370064,484352
-0.0,-7.473698,1.0,-2.9610567,0.009420567,485351,1024,-2.205371856689453e-05,0.0010240666,0.002771563,0.002771563,278529.9101681709,485376
-0.0,-7.515922,1.0,-2.9614136,0.01000194,486375,1024,-8.90493392944336e-05,0.001013648,0.004033178,0.004033178,279118.25493884087,486400
-0.0,-7.5570946,1.0,-2.9633203,0.0112938965,487399,1024,-7.021427154541016e-05,0.001011262,0.0030110423,0.0030110423,279705.00970840454,487424
-0.0,-7.5687375,1.0,-2.96207,0.010616421,488423,1024,5.4836273193359375e-05,0.0009802403,0.002442861,0.002442861,280291.16226005554,488448
-0.0,-7.5710115,1.0,-2.9636128,0.009848162,489447,1024,-2.6345252990722656e-05,0.000988639,0.0022339742,0.0022339742,280880.39950203896,489472
-0.0,-7.595443,1.0,-2.9616861,0.012091366,490471,1024,-1.5616416931152344e-05,0.0010128778,0.0038927156,0.0038927156,281468.66291475296,490496
-0.0,-7.5934,1.0,-2.961247,0.009207759,491495,1024,-8.761882781982422e-05,0.0010057935,0.0051144604,0.0051144604,282056.56331539154,491520
-0.0,-7.628663,1.0,-2.9597104,0.009652963,492519,1024,-8.797645568847656e-05,0.0010042163,0.0034231208,0.0034231208,282644.38463044167,492544
-0.0,-7.6774635,1.0,-2.9652557,0.010541112,493543,1024,-1.3470649719238281e-05,0.0010119302,0.0044088215,0.0044088215,283232.1633179188,493568
-0.0,-7.7221828,1.0,-2.9589586,0.011147976,494567,1024,-2.4080276489257812e-05,0.0010134485,0.005688442,0.005688442,283818.5471382141,494592
-0.0,-7.728303,1.0,-2.9615057,0.01207348,495591,1024,5.781650543212891e-06,0.0009915066,0.0046254396,0.0046254396,284405.8907151222,495616
-0.0,-7.7411966,1.0,-2.9601455,0.011404464,496615,1024,-5.924701690673828e-05,0.0010103602,0.004541112,0.004541112,284994.3310968876,496640
-0.0,-7.703182,1.0,-2.95942,0.01243766,497639,1024,-2.2172927856445312e-05,0.0009820255,0.0025204606,0.0025204606,285583.1855208874,497664
-0.0,-7.7290983,1.0,-2.9612842,0.0093485955,498663,1024,-2.288818359375e-05,0.0010232409,0.004710187,0.004710187,286168.960501194,498688
-0.0,-7.741005,1.0,-2.9641335,0.008289843,499687,1024,2.1398067474365234e-05,0.001013768,0.0026491117,0.0026491117,286758.51142287254,499712
-0.0,-7.783828,1.0,-2.9619727,0.009737168,500711,1024,8.344650268554688e-07,0.0010154861,0.0032442869,0.0032442869,287348.13272356987,500736
-0.0,-7.802716,1.0,-2.9618251,0.010038519,501735,1024,9.715557098388672e-06,0.0010169635,0.0038451822,0.0038451822,287937.6636168957,501760
-0.0,-7.8392367,1.0,-2.9602401,0.010934919,502759,1024,-3.2186508178710938e-06,0.0010138436,0.0038484912,0.0038484912,288527.5085194111,502784
-0.0,-7.841697,1.0,-2.9624255,0.011594651,503783,1024,-7.76052474975586e-05,0.001024222,0.003196206,0.003196206,289117.87277817726,503808
-0.0,-7.8740206,1.0,-2.961777,0.009804687,504807,1024,1.4185905456542969e-05,0.0010085874,0.0018287138,0.0018287138,289705.79629945755,504832
-0.0,-7.920861,1.0,-2.9585242,0.00931699,505831,1024,-7.152557373046875e-06,0.0010091001,0.004463069,0.004463069,290293.88836216927,505856
-0.0,-7.932849,1.0,-2.963947,0.009213623,506855,1024,-2.2530555725097656e-05,0.0010045103,0.0028945254,0.0028945254,290882.25402259827,506880
-0.0,-7.9340024,1.0,-2.9621074,0.008556835,507879,1024,1.2159347534179688e-05,0.0010019231,0.0029872647,0.0029872647,291470.6674313545,507904
-0.0,-7.971978,1.0,-2.9588594,0.01054469,508903,1024,1.3530254364013672e-05,0.001016761,0.010130046,0.010130046,292059.42957377434,508928
-0.0,-7.949603,1.0,-2.960863,0.011510767,509927,1024,1.1324882507324219e-06,0.0009836564,0.0016807686,0.0016807686,292648.4159543514,509952
-0.0,-7.935813,1.0,-2.9585102,0.01008349,510951,1024,1.4424324035644531e-05,0.0009809369,0.0022867601,0.0022867601,293235.7416501045,510976
-0.0,-7.923302,1.0,-2.960785,0.008320697,511975,1024,-2.396106719970703e-05,0.0010425156,0.0031557996,0.0031557996,293822.3724131584,512000
-0.0,-7.920411,1.0,-2.9589534,0.008466294,512999,1024,2.8967857360839844e-05,0.0009862012,0.003032581,0.003032581,294410.24528741837,513024
-0.0,-7.9223824,1.0,-2.9609275,0.010711909,514023,1024,5.650520324707031e-05,0.0010031628,0.0031974057,0.0031974057,295000.58213377,514048
-0.0,-7.961526,1.0,-2.963385,0.010268817,515047,1024,-4.8995018005371094e-05,0.0010183145,0.0026509515,0.0026509515,295589.1305975914,515072
-0.0,-7.9898105,1.0,-2.961269,0.011023104,516071,1024,2.2649765014648438e-05,0.0010182431,0.006834359,0.006834359,296177.30225634575,516096
-0.0,-8.00433,1.0,-2.9620361,0.007575724,517095,1024,-1.4543533325195312e-05,0.0010061476,0.0026273194,0.0026273194,296765.2107284069,517120
-0.0,-8.009095,1.0,-2.960542,0.010126727,518119,1024,-5.316734313964844e-05,0.001006731,0.0027887449,0.0027887449,297352.6349005699,518144
-0.0,-8.029883,1.0,-2.963314,0.008648045,519143,1024,-3.135204315185547e-05,0.0010121048,0.0037447754,0.0037447754,297938.8376660347,519168
-0.0,-8.030122,1.0,-2.9624987,0.0074453945,520166,1023,0.1872151494026184,0.0012980092,0.0039300295,0.0039300295,298529.0299706459,520192
-0.0,-8.064381,1.0,-2.9621444,0.009960427,521190,1024,-6.258487701416016e-05,0.0010222603,0.0031093617,0.0031093617,299117.53292393684,521216
-0.0,-8.042962,1.0,-2.963223,0.008284991,522214,1024,1.919269561767578e-05,0.0009834594,0.0024415106,0.0024415106,299703.1971986294,522240
-0.0,-8.088267,1.0,-2.9608622,0.010256222,523238,1024,-6.794929504394531e-05,0.0010114254,0.0072055887,0.0072055887,300290.6360118389,523264
-0.0,-8.129769,1.0,-2.960345,0.01138826,524262,1024,3.975629806518555e-05,0.0010121742,0.0021805484,0.0021805484,300879.5966055393,524288
-0.0,-8.140861,1.0,-2.9596794,0.012592304,525286,1024,3.039836883544922e-06,0.0009976297,0.001708572,0.001708572,301467.87912011147,525312
-0.0,-8.153061,1.0,-2.9622915,0.010696736,526310,1024,-1.33514404296875e-05,0.001004047,0.0035807928,0.0035807928,302055.42336702347,526336
-0.0,-8.155567,1.0,-2.958027,0.008589334,527334,1024,-3.0994415283203125e-05,0.0010038659,0.003525734,0.003525734,302643.71839666367,527360
-0.0,-8.15429,1.0,-2.9617343,0.009472094,528358,1024,-2.0384788513183594e-05,0.001000046,0.0026760958,0.0026760958,303232.343061924,528384
-0.0,-8.180763,1.0,-2.957818,0.010939378,529382,1024,7.510185241699219e-06,0.0010137552,0.0038419357,0.0038419357,303819.1569516659,529408
-0.0,-8.183582,1.0,-2.9617608,0.01299924,530406,1024,-7.367134094238281e-05,0.0010039695,0.0039200727,0.0039200727,304408.04410505295,530432
-0.0,-8.1989355,1.0,-2.9609845,0.011783902,531430,1024,-8.237361907958984e-05,0.0010080601,0.0026010303,0.0026010303,304997.68511867523,531456
-0.0,-8.208512,1.0,-2.9618275,0.008853282,532454,1024,-6.604194641113281e-05,0.0010042089,0.0031370863,0.0031370863,305586.7644789219,532480
-0.0,-8.206375,1.0,-2.9596984,0.009798852,533478,1024,-7.987022399902344e-06,0.0010020605,0.002673402,0.002673402,306174.32066845894,533504
-0.0,-8.200459,1.0,-2.9630272,0.010632877,534502,1024,-1.71661376953125e-05,0.0009965618,0.0024880806,0.0024880806,306760.37648558617,534528
-0.0,-8.204009,1.0,-2.9614494,0.012621633,535526,1024,2.2649765014648438e-06,0.0010008037,0.0026166611,0.0026166611,307348.0188243389,535552
-0.0,-8.201667,1.0,-2.9606261,0.011889497,536550,1024,3.641843795776367e-05,0.0009969366,0.0020120065,0.0020120065,307935.20679593086,536576
-0.0,-8.2471285,1.0,-2.9594743,0.012990273,537574,1024,8.344650268554688e-07,0.0010103065,0.0050365515,0.0050365515,308523.7860136032,537600
-0.0,-8.284442,1.0,-2.9606755,0.010390355,538598,1024,-2.1457672119140625e-06,0.0010174441,0.01046214,0.01046214,309110.6429786682,538624
-0.0,-8.289516,1.0,-2.9642584,0.0105534,539622,1024,9.834766387939453e-06,0.0010162609,0.002015533,0.002015533,309700.9908003807,539648
-0.0,-8.290272,1.0,-2.95931,0.011997529,540646,1024,-6.4373016357421875e-06,0.00100026,0.001170462,0.001170462,310290.51196551323,540672
-0.0,-8.29168,1.0,-2.9622428,0.0097376015,541670,1024,9.417533874511719e-06,0.0010019129,0.0025945455,0.0025945455,310881.07676529884,541696
-0.0,-8.3033905,1.0,-2.9621494,0.011155582,542694,1024,-3.743171691894531e-05,0.0009936029,0.0025502555,0.0025502555,311466.81314849854,542720
-0.0,-8.308364,1.0,-2.961652,0.011338835,543718,1024,-1.6450881958007812e-05,0.0010107066,0.002285676,0.002285676,312055.6523807049,543744
-0.0,-8.31292,1.0,-2.962665,0.010147109,544742,1024,-6.818771362304688e-05,0.0010012318,0.0015997486,0.0015997486,312643.20223879814,544768
-0.0,-8.327529,1.0,-2.9608102,0.0093515925,545766,1024,1.6868114471435547e-05,0.0010588155,0.0025224867,0.0025224867,313233.1190440655,545792
-0.0,-8.315998,1.0,-2.9619217,0.009898024,546790,1024,1.7583370208740234e-05,0.0009825621,0.0032637995,0.0032637995,313820.57158255577,546816
-0.0,-8.324433,1.0,-2.9641862,0.008640927,547814,1024,-6.4849853515625e-05,0.001011532,0.0039742845,0.0039742845,314408.78498768806,547840
-0.0,-8.326981,1.0,-2.9630206,0.011202457,548838,1024,-9.298324584960938e-06,0.0010024491,0.002201993,0.002201993,314997.32245087624,548864
-0.0,-8.363896,1.0,-2.962968,0.008453744,549862,1024,3.4809112548828125e-05,0.0010125724,0.004138304,0.004138304,315587.63892412186,549888
-0.0,-8.36406,1.0,-2.9608681,0.009099162,550884,1022,0.3416685461997986,0.0006415949,0.0058779167,0.0058779167,316184.83795261383,550912
-0.0,-8.362194,1.0,-2.9598918,0.01146718,551908,1024,-2.1457672119140625e-05,0.0009977232,0.0011587082,0.0011587082,316778.1367394924,551936
-0.0,-8.410943,1.0,-2.9596343,0.013439532,552932,1024,-1.0132789611816406e-05,0.0010111099,0.005346055,0.005346055,317368.29467749596,552960
-0.0,-8.42331,1.0,-2.9609954,0.010345441,553956,1024,-6.139278411865234e-05,0.001010503,0.0029933304,0.0029933304,317958.72590613365,553984
