# {"env_id": "PickbotReachOrientDoorHandle-v5", "t_start": 1567723370.4598494} 
r,l,t
0,24,2230.008814
0,53,2241.574769
0,21,2248.586681
0,16,2254.217619
0,2,2257.738387
0,23,2263.226025
0,41,2272.568077
0,33,2280.809303
0,15,2286.614147
0,23,2291.892838
0,26,2299.973843
0,24,2306.273986
0,17,2312.678798
0,12,2316.314737
0,28,2324.989971
0,2,2328.631975
1,2,2332.497003
1,30,2340.367906
0,47,2352.369137
0,1,2354.441839
1,1,2356.779375
0,38,2367.042077
0,41,2377.909102
0,1,2380.018291
0,22,2386.203337
1,2,2390.343257
1,1,2391.354863
0,4,2392.688282
0,5,2396.60893
0,2,2400.140267
0,20,2407.003369
0,46,2419.066966
0,11,2424.294566
0,26,2432.500282
0,2,2436.045466
0,40,2446.821291
0,17,2453.125023
0,25,2461.013261
0,25,2468.595192
0,12,2473.995622
0,15,2479.841928
0,51,2492.745028
0,13,2496.980782
0,13,2502.420163
0,22,2507.669656
0,37,2515.831841
0,24,2523.396636
0,38,2533.639066
1,2,2537.513698
0,35,2545.733331
0,47,2557.456021
0,16,2563.599908
0,14,2569.141828
0,41,2579.833976
0,16,2586.100117
0,7,2590.42575
1,2,2593.96021
0,45,2605.696281
1,1,2608.147768
0,28,2616.695355
0,1,2618.3915
0,17,2623.873127
0,20,2628.645502
0,43,2639.747391
0,34,2647.595349
0,20,2654.363018
0,27,2662.448113
0,15,2668.5534
0,4,2670.660771
0,28,2678.956217
0,43,2689.994979
0,12,2694.453097
0,45,2705.989353
0,36,2715.993023
0,31,2724.967027
0,32,2732.182776
0,48,2741.765932
0,54,2754.855998
0,41,2764.379359
0,26,2772.244165
0,16,2778.350744
0,2,2781.842488
0,13,2787.249969
1,2,2790.716632
0,6,2794.2355
0,41,2805.229721
0,16,2810.003971
0,14,2815.666288
1,2,2819.560306
1,28,2826.470039
1,2,2830.01281
0,2,2833.649132
1,1,2836.091258
0,6,2839.098041
0,29,2847.757262
0,46,2859.650525
0,16,2865.754232
0,16,2871.914355
0,38,2880.854084
1,2,2884.960921
1,15,2892.234909
0,8,2894.402315
0,42,2903.248601
1,2,2907.238715
0,55,2920.513728
1,2,2924.110896
0,54,2937.235297
0,16,2943.28345
0,24,2950.884856
1,2,2954.426228
0,39,2964.740571
1,2,2968.6572
0,48,2981.016689
0,28,2987.292996
0,24,2994.810194
0,40,3005.296085
0,20,3010.154098
0,18,3015.511403
1,2,3019.429818
1,28,3026.891999
0,19,3031.324654
0,24,3038.83124
1,2,3042.690321
0,31,3051.593989
0,16,3057.875262
0,14,3061.744827
0,8,3066.324258
0,21,3073.748145
1,2,3077.53117
1,2,3081.467854
0,39,3091.273125
0,19,3098.066569
1,2,3101.938278
0,39,3112.340046
1,2,3116.220873
0,16,3122.601466
0,19,3129.364804
0,18,3134.353749
0,1,3136.355257
1,2,3139.751965
0,44,3151.208125
0,17,3157.645073
0,47,3169.754115
0,46,3181.707854
0,35,3191.43488
0,27,3199.551591
0,18,3206.04404
1,2,3209.842555
1,28,3217.36589
